,StateID,StateName,Median_Listing_Price
0,AK,Alaska,295700
1,AL,Alabama,229900
2,AR,Arkansas,185000
3,AZ,Arizona,338900
4,CA,California,559900
5,CO,Colorado,450000
6,CT,Connecticut,364900
7,DC,District of Columbia,625000
8,DE,Delaware,309900
9,FL,Florida,325000
10,GA,Georgia,299900
11,HI,Hawaii,666500
12,IA,Iowa,213300
13,ID,Idaho,339900
14,IL,Illinois,258500
15,IN,Indiana,199900
16,KS,Kansas,194800
17,KY,Kentucky,200000
18,LA,Louisiana,229700
19,MA,Massachusetts,499000
20,MD,Maryland,335000
21,ME,Maine,249500
22,MI,Michigan,219900
23,MN,Minnesota,299900
24,MO,Missouri,199900
25,MS,Mississippi,199300
26,MT,Montana,335000
27,NC,North Carolina,295000
28,ND,North Dakota,239000
29,NE,Nebraska,251600
30,NH,New Hampshire,339900
31,NJ,New Jersey,370000
32,NM,New Mexico,249700
33,NV,Nevada,331000
34,NY,New York,449900
35,OH,Ohio,182200
36,OK,Oklahoma,205000
37,OR,Oregon,415000
38,PA,Pennsylvania,220000
39,RI,Rhode Island,357000
40,SC,South Carolina,270000
41,SD,South Dakota,239900
42,TN,Tennessee,279500
43,TX,Texas,295000
44,UT,Utah,399900
45,VA,Virginia,325000
46,VT,Vermont,283400
47,WA,Washington,465000
48,WI,Wisconsin,239900
49,WV,West Virginia,175000
50,WY,Wyoming,251500
